iter	RMSE
0	0.6783781252
1	0.6628658599
2	0.6466555844
3	0.6317239638
4	0.6169278783
5	0.6035008149
6	0.5891982634
7	0.5761593888
8	0.5640588612
9	0.551016881
10	0.5388123029
11	0.5282892991
12	0.5181434659
13	0.5077325997
14	0.4983227695
15	0.4887409609
16	0.4802239586
17	0.4708690085
18	0.462149633
19	0.454091565
20	0.4457402254
21	0.4379601588
22	0.4309145998
23	0.4234807347
24	0.4176796084
25	0.4111472574
26	0.4050331784
27	0.3988540809
28	0.3931398087
29	0.3876602352
30	0.3818273689
31	0.3768617695
32	0.3728553359
33	0.3690235669
34	0.3647147692
35	0.3602306692
36	0.3564738265
37	0.3526721524
38	0.3493424083
39	0.3457796289
40	0.3423096583
41	0.3388347872
42	0.3353692351
43	0.3320949171
44	0.3288834633
45	0.3261244883
46	0.3232531313
47	0.3207494143
48	0.3185389248
49	0.316112198
50	0.3139046772
51	0.31146844
52	0.3093272406
53	0.3069307434
54	0.3047377765
55	0.3030052862
56	0.3014004385
57	0.2996283692
58	0.2977766295
59	0.2964095235
60	0.2948288252
61	0.2933194105
62	0.2919436537
63	0.2905637347
64	0.2893949006
65	0.2879242495
66	0.2866970769
67	0.2854769091
68	0.2843252748
69	0.2830995383
70	0.2819421422
71	0.2807933445
72	0.2797170861
73	0.2787869206
74	0.277849698
75	0.2767517005
76	0.2757699726
77	0.2746593537
78	0.2738494953
79	0.2728534264
80	0.271878089
81	0.2710133999
82	0.2703315932
83	0.2696610925
84	0.2688768595
85	0.2681964479
86	0.2674220869
87	0.2666641403
88	0.2661277841
89	0.2653792587
90	0.2647479265
91	0.2641512878
92	0.2635548788
93	0.2628380824
94	0.2621662598
95	0.2615328538
96	0.2608574257
97	0.2604099994
98	0.2598390771
99	0.2592227405
100	0.2587568305
101	0.2581910394
102	0.2577224315
103	0.2571702795
104	0.256728971
105	0.256175033
106	0.2558774989
107	0.2554030662
108	0.2549389985
109	0.2545552209
110	0.2539829245
111	0.253622792
112	0.2528353959
113	0.2521973127
114	0.251730181
115	0.2511225648
116	0.2505277484
117	0.2499896648
118	0.2492774205
119	0.2487497023
120	0.248347239
121	0.247882883
122	0.2474262264
123	0.2467073204
124	0.2463798509
125	0.2458480539
126	0.2455766222
127	0.2451034151
128	0.2447510894
129	0.2442992206
130	0.2439338483
131	0.2434118456
132	0.2429066231
133	0.2422970259
134	0.2417169282
135	0.2411377797
136	0.2405812172
137	0.2401360067
138	0.2397905072
139	0.2392612161
140	0.2386697275
141	0.2379936373
142	0.2377097939
143	0.2374179134
144	0.2370233277
145	0.2367561319
146	0.2363431147
147	0.2357115942
148	0.2354227816
149	0.2351017323
150	0.2347112177
151	0.2342357918
152	0.2338326295
153	0.2333566931
154	0.2330356118
155	0.2327553131
156	0.2322404088
157	0.2317765652
158	0.2314292157
159	0.2310500242
160	0.2306949185
161	0.2304220235
162	0.2302632784
163	0.2298185132
164	0.2294503349
165	0.2290096633
166	0.2285935396
167	0.2281611257
168	0.2278508448
169	0.2275455614
170	0.2272051713
171	0.2268340786
172	0.2264102801
173	0.226100059
174	0.2256940435
175	0.2253715843
176	0.2250343736
177	0.2246850992
178	0.224546092
179	0.2242866786
180	0.2240486146
181	0.2237138507
182	0.2233418566
183	0.222922389
184	0.2227401881
185	0.2222644482
186	0.2220091879
187	0.2218211077
188	0.2214001158
189	0.2207857149
190	0.2203149251
191	0.2201276595
192	0.2197469945
193	0.2194172717
194	0.2191476571
195	0.2187673658
196	0.2182338341
197	0.2178063405
198	0.2175027635
199	0.2169226824
200	0.2166039677
201	0.2162051651
202	0.2158842806
203	0.2155838859
204	0.2153597248
205	0.2151950332
206	0.214734152
207	0.2144233715
208	0.2140299137
209	0.2136747294
210	0.213251547
211	0.2128274863
212	0.2123644
213	0.2120562324
214	0.2116784345
215	0.2112699853
216	0.2110994077
217	0.2107043583
218	0.2104582217
219	0.2103609584
220	0.2102486439
221	0.2098142361
222	0.2094992931
223	0.2091391719
224	0.2088276242
225	0.2084528187
226	0.2083422802
227	0.2081063708
228	0.2076166926
229	0.2074545688
230	0.2070197815
231	0.2068446196
232	0.2066161372
233	0.2065377052
234	0.2064216612
235	0.2061190632
236	0.2057725358
237	0.2054940871
238	0.2053641784
239	0.2052067598
240	0.2048780751
241	0.2046034327
242	0.2043674322
243	0.2040799228
244	0.2035920462
245	0.2034905828
246	0.2031312123
247	0.2028769299
248	0.2024880012
249	0.20229526
250	0.202228274
251	0.2019207079
252	0.2017885319
253	0.2015035575
254	0.2010424524
255	0.2005658601
256	0.2003570881
257	0.1999996574
258	0.1994943724
259	0.1993619457
260	0.1992500606
261	0.1988783911
262	0.1985009273
263	0.1982128112
264	0.1981603824
265	0.198087985
266	0.1977485646
267	0.1972985047
268	0.1971344038
269	0.1968698391
270	0.196503363
271	0.1960668154
272	0.1960436822
273	0.1958529013
274	0.1956025034
275	0.1955108341
276	0.1950573449
277	0.1950165848
278	0.1949509143
279	0.1946903546
280	0.1943617972
281	0.1940057175
282	0.1934201316
283	0.1933284967
284	0.1931002436
285	0.1927743879
286	0.1921103632
287	0.1917705856
288	0.1914267527
289	0.1909223516
290	0.1905628772
291	0.1901274707
292	0.1900432417
293	0.1897084493
294	0.189317484
295	0.1890079353
296	0.1885060519
297	0.1882361754
298	0.1879409876
299	0.1877839132
300	0.1873171602
301	0.1870280594
302	0.1867655423
303	0.1863821743
304	0.1861171025
305	0.1857648395
306	0.1854610858
307	0.185115628
308	0.1845492665
309	0.1841504813
310	0.1839218409
311	0.1836968861
312	0.1834500268
313	0.1831937357
314	0.1829244825
315	0.1826373059
316	0.1820486006
317	0.1817384847
318	0.1815118076
319	0.1811373204
320	0.1808985999
321	0.1806235774
322	0.180174265
323	0.1797449651
324	0.1794627625
325	0.1791593947
326	0.17888824
327	0.1787472833
328	0.1785295481
329	0.1783585479
330	0.1780684968
331	0.1777494787
332	0.177560585
333	0.1772042663
334	0.1768640398
335	0.1765989883
336	0.1763962104
337	0.1761083713
338	0.1757606986
339	0.1754603611
340	0.1752266448
341	0.1749460877
342	0.1747086685
343	0.1743700504
344	0.1739623432
345	0.1737175308
346	0.173482929
347	0.1732681134
348	0.17306283
349	0.1728910924
350	0.1726448506
351	0.1722900642
352	0.171859344
353	0.1716243101
354	0.1713825134
355	0.1711572699
356	0.1709150524
357	0.1706865081
358	0.1704470701
359	0.1699183644
360	0.1694868704
361	0.1690271584
362	0.1686481641
363	0.1684310135
364	0.1682981304
365	0.1681045681
366	0.1678113323
