iter	Passed	Remaining
0	5	5458
1	6	3007
2	7	2509
3	8	2016
4	8	1702
5	8	1483
6	9	1368
7	10	1249
8	10	1163
9	11	1117
10	11	1050
11	12	1008
12	12	963
13	13	973
14	14	951
15	15	951
16	17	986
17	19	1039
18	19	1012
19	20	984
20	20	962
21	21	939
22	21	918
23	22	932
24	23	910
25	23	896
26	24	877
27	24	866
28	25	849
29	26	845
30	26	836
31	27	823
32	27	809
33	28	798
34	28	788
35	29	777
36	29	767
37	29	757
38	30	747
39	30	738
40	31	729
41	32	730
42	32	724
43	33	719
44	33	713
45	34	707
46	34	701
47	35	694
48	35	687
49	35	680
50	36	674
51	36	669
52	37	663
53	37	657
54	38	662
55	39	658
56	39	653
57	39	649
58	40	645
59	40	640
60	41	635
61	41	631
62	42	626
63	42	622
64	43	621
65	44	628
66	45	627
67	45	623
68	46	622
69	46	618
70	47	626
71	48	624
72	48	621
73	49	618
74	49	615
75	50	614
76	51	612
77	51	609
78	52	606
79	52	604
80	52	600
81	53	596
82	53	592
83	54	588
84	54	585
85	54	581
86	55	578
87	56	586
88	56	581
89	57	578
90	58	579
91	58	576
92	58	574
93	59	571
94	59	569
95	60	567
96	60	566
97	61	566
98	62	571
99	63	570
100	63	567
101	65	573
102	66	579
103	67	583
104	68	581
105	68	579
106	69	578
107	69	575
108	70	573
109	70	573
110	71	570
111	71	568
112	72	572
113	73	571
114	73	568
115	74	566
116	74	564
117	75	562
118	75	559
119	76	557
120	76	555
121	76	553
122	77	551
123	77	548
124	78	546
125	79	548
126	79	546
127	80	545
128	80	543
129	80	541
130	81	539
131	81	538
132	82	539
133	83	541
134	84	539
135	85	542
136	85	539
137	86	537
138	86	535
139	86	533
140	87	531
141	87	529
142	87	527
143	88	525
144	88	524
145	89	523
146	89	521
147	90	520
148	90	518
149	91	516
150	91	514
151	91	512
152	92	511
153	92	509
154	93	507
155	93	505
156	93	504
157	94	502
158	94	500
159	95	501
160	95	500
161	96	498
162	97	500
