Score,Predicted_Happiness_Score
7.587,7.555060668305279
7.561,7.327188588634492
7.527,7.33842046931602
7.522,7.55541555555201
7.427,7.454663817712969
7.406,7.352080399554174
7.378,7.160347292952931
7.364,7.48477327722083
7.286,7.206187350149584
7.284,7.2096665947788345
7.278,6.523005959754765
7.226,7.10375833189587
7.2,7.1675694250489865
7.187,6.947041804896684
7.119,7.113153657334172
6.983,6.652968959181627
6.946,7.066249552598716
6.94,7.0107534233699
6.937,6.949520433205126
6.901,7.031887899527094
6.867,6.916845791703912
6.853,6.867024614145957
6.81,6.621319639964537
6.798,6.390983805444062
6.786,6.695922939669325
6.75,7.000889674823306
6.67,6.662794266833159
6.611,6.648141389363232
6.575,6.55471819235366
6.574,6.517511976156245
6.505,5.723031635962206
6.485,6.785914919903121
6.477,6.144240901078833
6.455,5.699645861617349
6.411,6.306841031252671
6.329,6.288969865814494
6.302,6.341467682809679
6.298,6.364002675271154
6.295,6.286574867878501
6.269,5.9939626020949035
6.168,6.145591194100141
6.13,5.894544576657905
6.123,6.006581394340382
6.003,5.84810944287442
5.995,5.682556594655051
5.987,6.013217186406244
5.984,6.042879470489922
5.975,6.155926890056271
5.96,6.091092916799324
5.948,5.94656496664585
5.89,5.873889261814127
5.889,5.8012309233821595
5.878,5.950046739148438
5.855,5.681815147194738
5.848,6.107897179153536
5.833,5.145710345356866
5.828,6.145544285183836
5.824,5.834749158137592
5.813,5.707116627399893
5.791,5.922547223517176
5.77,6.170970432460595
5.759,5.496484650195011
5.754,5.74690133619793
5.716,5.533633277608804
5.709,5.692517028429758
5.695,6.073443317353321
5.689,6.239955981072617
5.605,5.026611093012462
5.589,5.360934886714112
5.548,5.220181046268426
5.477,5.307581815329927
5.474,5.74194059068305
5.429,5.921514738837243
5.399,5.435900273783295
5.36,5.4270996829807014
5.332,5.2841338162753635
5.286,4.974733940992389
5.268,4.766820408832875
5.253,4.787882094256139
5.212,5.232112074053612
5.194,4.990452615073538
5.192,5.10275983142525
5.192,5.160033707781872
5.14,5.09149952929536
5.129,4.140652240636332
5.124,5.160278250291363
